x,y
4.429530201342282,-1.1232813071804977
4.899328859060403,-1.1060601494740254
4.563758389261745,-1.079704629104085
4.228187919463087,-1.0576753990335002
5.033557046979865,-1.017348345009978
5.100671140939597,-1.012640512420153
4.630872483221476,-0.9914848301588102
4.76510067114094,-0.98571276939771
4.3624161073825505,-0.9795601079106632
5.167785234899329,-0.955971785212288
4.1610738255033555,-0.9331509985246792
4.496644295302014,-0.9305390211277006
4.966442953020135,-0.9276673295806768
4.697986577181208,-0.9269872309660028
5.369127516778524,-0.9085026687024562
5.23489932885906,-0.8977243574730199
4.295302013422819,-0.8965302699536732
4.832214765100671,-0.878889408029274
4.093959731543624,-0.8507454300687382
4.026845637583893,-0.8413212192478476
5.302013422818792,-0.8255330318644186
5.570469798657718,-0.807515071950003
3.959731543624161,-0.7661489921253193
3.8926174496644297,-0.7458204432099957
5.436241610738255,-0.6591771418985557
5.503355704697986,-0.656592027115307
9.93288590604027,-0.6181158347407438
3.825503355704698,-0.6015818735237266
10.0,-0.5901795713708406
3.7583892617449663,-0.571773289939929
3.557046979865772,-0.5216688685618495
3.691275167785235,-0.479583351105659
5.906040268456376,-0.475342921943071
3.624161073825503,-0.4668740484516597
9.798657718120806,-0.456512127699941
5.6375838926174495,-0.4528537006153726
5.8389261744966445,-0.4477815310655001
3.48993288590604,-0.3924187091441527
5.771812080536913,-0.3714973051100233
5.704697986577181,-0.3571690928601925
9.865771812080537,-0.3151368143763518
3.3557046979865772,-0.3020264887622037
6.040268456375839,-0.28085255387109
3.221476510067114,-0.241188706124648
3.422818791946309,-0.238843577679946
9.731543624161072,-0.2075289301886037
5.973154362416107,-0.19964293334134
3.2885906040268456,-0.1677431517809636
9.395973154362416,-0.1203249360039949
9.59731543624161,-0.108179555202014
9.316511154174805,-0.0135342654684775
0.7419642712920904,0.8184256335522001
3.997828932479024,-0.8413212192478476
2.439319146797061,0.7865276577341849
5.429567256942391,-0.6591771418985557
